Fecha,Valor
2024-09-17 13:22:39.587821,104.06
2024-09-18 13:22:39.587821,103.8
2024-09-19 13:22:39.587821,103.54
2024-09-20 13:22:39.587821,103.28
2024-09-21 13:22:39.587821,103.02
2024-09-22 13:22:39.587821,102.76
2024-09-23 13:22:39.587821,102.5
2024-09-24 13:22:39.587821,102.24000000000001
2024-09-25 13:22:39.587821,101.98
2024-09-26 13:22:39.587821,101.72
2024-09-27 13:22:39.587821,101.46000000000001
2024-09-28 13:22:39.587821,101.2
2024-09-29 13:22:39.587821,100.94
2024-09-30 13:22:39.587821,100.68
2024-10-01 13:22:39.587821,100.42
2024-10-02 13:22:39.587821,100.16
2024-10-03 13:22:39.587821,99.9
2024-10-04 13:22:39.587821,99.64
2024-10-05 13:22:39.587821,99.38
2024-10-06 13:22:39.587821,99.12
2024-10-07 13:22:39.587821,98.86
2024-10-08 13:22:39.587821,98.60000000000001
2024-10-09 13:22:39.587821,98.34
2024-10-10 13:22:39.587821,98.08
2024-10-11 13:22:39.587821,97.82000000000001
2024-10-12 13:22:39.587821,97.56
2024-10-13 13:22:39.587821,97.3
2024-10-14 13:22:39.587821,97.04
2024-10-15 13:22:39.587821,96.78
2024-10-16 13:22:39.587821,96.52
2024-10-17 13:22:39.587821,96.26
2024-10-18 13:22:39.587821,96.0
2024-10-19 13:22:39.587821,95.74000000000001
2024-10-20 13:22:39.587821,95.48
2024-10-21 13:22:39.587821,95.22
2024-10-22 13:22:39.587821,94.96000000000001
2024-10-23 13:22:39.587821,94.7
2024-10-24 13:22:39.587821,94.44
2024-10-25 13:22:39.587821,94.18
2024-10-26 13:22:39.587821,93.92
2024-10-27 13:22:39.587821,93.66
2024-10-28 13:22:39.587821,93.4
2024-10-29 13:22:39.587821,93.14
2024-10-30 13:22:39.587821,92.88
2024-10-31 13:22:39.587821,92.62
2024-11-01 13:22:39.587821,92.36
2024-11-02 13:22:39.587821,92.1
2024-11-03 13:22:39.587821,91.84
2024-11-04 13:22:39.587821,91.58
2024-11-05 13:22:39.587821,91.32000000000001
2024-11-06 13:22:39.587821,91.06
2024-11-07 13:22:39.587821,90.8
2024-11-08 13:22:39.587821,90.54
2024-11-09 13:22:39.587821,90.28
2024-11-10 13:22:39.587821,90.02
2024-11-11 13:22:39.587821,89.76
2024-11-12 13:22:39.587821,89.5
2024-11-13 13:22:39.587821,89.24000000000001
2024-11-14 13:22:39.587821,88.98
2024-11-15 13:22:39.587821,88.72
2024-11-16 13:22:39.587821,88.46000000000001
2024-11-17 13:22:39.587821,88.2
2024-11-18 13:22:39.587821,87.94
2024-11-19 13:22:39.587821,87.68
2024-11-20 13:22:39.587821,87.42
2024-11-21 13:22:39.587821,87.16
2024-11-22 13:22:39.587821,86.9
2024-11-23 13:22:39.587821,86.64
2024-11-24 13:22:39.587821,86.38
2024-11-25 13:22:39.587821,86.12
2024-11-26 13:22:39.587821,85.86
2024-11-27 13:22:39.587821,85.6
2024-11-28 13:22:39.587821,85.34
2024-11-29 13:22:39.587821,85.08
2024-11-30 13:22:39.587821,84.82
2024-12-01 13:22:39.587821,84.56
2024-12-02 13:22:39.587821,84.3
2024-12-03 13:22:39.587821,84.04
2024-12-04 13:22:39.587821,83.78
2024-12-05 13:22:39.587821,83.52000000000001
2024-12-06 13:22:39.587821,83.26
2024-12-07 13:22:39.587821,83.0
2024-12-08 13:22:39.587821,82.74000000000001
2024-12-09 13:22:39.587821,82.48
2024-12-10 13:22:39.587821,82.22
2024-12-11 13:22:39.587821,81.96000000000001
2024-12-12 13:22:39.587821,81.7
2024-12-13 13:22:39.587821,81.44
2024-12-14 13:22:39.587821,81.18
2024-12-15 13:22:39.587821,80.92
2024-12-16 13:22:39.587821,80.66
2024-12-17 13:22:39.587821,80.4
2024-12-18 13:22:39.587821,80.14
2024-12-19 13:22:39.587821,79.88
2024-12-20 13:22:39.587821,79.62
2024-12-21 13:22:39.587821,79.36
2024-12-22 13:22:39.587821,79.1
2024-12-23 13:22:39.587821,78.84
2024-12-24 13:22:39.587821,78.58
2024-12-25 13:22:39.587821,78.32
